cell,celliso,iso,lon,lat,lpj
GLO.4559,ZAF.4559,ZAF,24.25,-27.25,32920
GLO.4560,ZAF.4560,ZAF,24.25,-26.75,32921
GLO.4561,ZAF.4561,ZAF,24.25,-26.25,32922
GLO.4562,ZAF.4562,ZAF,24.25,-25.75,32923
GLO.4563,BWA.4563,BWA,24.25,-25.25,32924
GLO.4564,BWA.4564,BWA,24.25,-24.75,32925
GLO.4565,BWA.4565,BWA,24.25,-24.25,32926
GLO.4566,BWA.4566,BWA,24.25,-23.75,32927
GLO.4567,BWA.4567,BWA,24.25,-23.25,32928
GLO.4568,BWA.4568,BWA,24.25,-22.75,32929
GLO.4569,BWA.4569,BWA,24.25,-22.25,32930
GLO.4570,BWA.4570,BWA,24.25,-21.75,32931
GLO.4571,BWA.4571,BWA,24.25,-21.25,32932
GLO.4572,BWA.4572,BWA,24.25,-20.75,32933
GLO.4573,BWA.4573,BWA,24.25,-20.25,32934
GLO.4574,BWA.4574,BWA,24.25,-19.75,32935
GLO.4575,BWA.4575,BWA,24.25,-19.25,32936
GLO.4576,BWA.4576,BWA,24.25,-18.75,32937
GLO.4577,BWA.4577,BWA,24.25,-18.25,32938
GLO.4578,NAM.4578,NAM,24.25,-17.75,32939
GLO.4579,ZMB.4579,ZMB,24.25,-17.25,32940
GLO.4580,ZMB.4580,ZMB,24.25,-16.75,32941
GLO.4581,ZMB.4581,ZMB,24.25,-16.25,32942
GLO.4582,ZMB.4582,ZMB,24.25,-15.75,32943
GLO.4583,ZMB.4583,ZMB,24.25,-15.25,32944
GLO.4584,ZMB.4584,ZMB,24.25,-14.75,32945
GLO.4585,ZMB.4585,ZMB,24.25,-14.25,32946
GLO.4586,ZMB.4586,ZMB,24.25,-13.75,32947
GLO.4587,ZMB.4587,ZMB,24.25,-13.25,32948
GLO.4588,ZMB.4588,ZMB,24.25,-12.75,32949
GLO.4589,ZMB.4589,ZMB,24.25,-12.25,32950
GLO.4590,ZMB.4590,ZMB,24.25,-11.75,32951
GLO.4591,ZMB.4591,ZMB,24.25,-11.25,32952
GLO.4592,COD.4592,COD,24.25,-10.75,32953
GLO.4593,COD.4593,COD,24.25,-10.25,32954
GLO.4594,COD.4594,COD,24.25,-9.75,32955
GLO.4595,COD.4595,COD,24.25,-9.25,32956
GLO.4596,COD.4596,COD,24.25,-8.75,32957
GLO.4597,COD.4597,COD,24.25,-8.25,32958
GLO.4598,COD.4598,COD,24.25,-7.75,32959
GLO.4599,COD.4599,COD,24.25,-7.25,32960
GLO.4600,COD.4600,COD,24.25,-6.75,32961
GLO.4601,COD.4601,COD,24.25,-6.25,32962
GLO.4602,COD.4602,COD,24.25,-5.75,32963
GLO.4603,COD.4603,COD,24.25,-5.25,32964
GLO.4604,COD.4604,COD,24.25,-4.75,32965
GLO.4605,COD.4605,COD,24.25,-4.25,32966
GLO.4606,COD.4606,COD,24.25,-3.75,32967
GLO.4607,COD.4607,COD,24.25,-3.25,32968
GLO.4608,COD.4608,COD,24.25,-2.75,32969
GLO.4609,COD.4609,COD,24.25,-2.25,32970
GLO.4610,COD.4610,COD,24.25,-1.75,32971
GLO.4611,COD.4611,COD,24.25,-1.25,32972
GLO.4612,COD.4612,COD,24.25,-0.75,32973
GLO.4613,COD.4613,COD,24.25,-0.25,32974
GLO.4614,COD.4614,COD,24.25,0.25,32975
GLO.4615,COD.4615,COD,24.25,0.75,32976
GLO.4616,COD.4616,COD,24.25,1.25,32977
GLO.4617,COD.4617,COD,24.25,1.75,32978
GLO.4618,COD.4618,COD,24.25,2.25,32979
GLO.4619,COD.4619,COD,24.25,2.75,32980
GLO.4620,COD.4620,COD,24.25,3.25,32981
GLO.4621,COD.4621,COD,24.25,3.75,32982
GLO.4622,COD.4622,COD,24.25,4.25,32983
GLO.4623,COD.4623,COD,24.25,4.75,32984
GLO.4624,CAF.4624,CAF,24.25,5.25,32985
GLO.4625,CAF.4625,CAF,24.25,5.75,32986
GLO.4626,CAF.4626,CAF,24.25,6.25,32987
GLO.4627,CAF.4627,CAF,24.25,6.75,32988
GLO.4628,CAF.4628,CAF,24.25,7.25,32989
GLO.4629,CAF.4629,CAF,24.25,7.75,32990
GLO.4630,CAF.4630,CAF,24.25,8.25,32991
GLO.4631,SDN.4631,SDN,24.25,8.75,32992
GLO.4632,SDN.4632,SDN,24.25,9.25,32993
GLO.4633,SDN.4633,SDN,24.25,9.75,32994
GLO.4634,SDN.4634,SDN,24.25,10.25,32995
GLO.4635,SDN.4635,SDN,24.25,10.75,32996
GLO.4636,SDN.4636,SDN,24.25,11.25,32997
GLO.4637,SDN.4637,SDN,24.25,11.75,32998
GLO.4638,SDN.4638,SDN,24.25,12.25,32999
GLO.4639,SDN.4639,SDN,24.25,12.75,33000
GLO.4640,SDN.4640,SDN,24.25,13.25,33001
GLO.4641,SDN.4641,SDN,24.25,13.75,33002
GLO.4642,SDN.4642,SDN,24.25,14.25,33003
GLO.4643,SDN.4643,SDN,24.25,14.75,33004
GLO.4644,SDN.4644,SDN,24.25,15.25,33005
GLO.4645,SDN.4645,SDN,24.25,15.75,33006
GLO.4646,SDN.4646,SDN,24.25,16.25,33007
GLO.4647,SDN.4647,SDN,24.25,16.75,33008
GLO.4648,SDN.4648,SDN,24.25,17.25,33009
GLO.4649,SDN.4649,SDN,24.25,17.75,33010
GLO.4650,SDN.4650,SDN,24.25,18.25,33011
GLO.4651,SDN.4651,SDN,24.25,18.75,33012
GLO.4652,SDN.4652,SDN,24.25,19.25,33013
GLO.4653,SDN.4653,SDN,24.25,19.75,33014
GLO.4654,ZAF.4654,ZAF,24.75,-33.75,33113
GLO.4655,ZAF.4655,ZAF,24.75,-33.25,33114
GLO.4656,ZAF.4656,ZAF,24.75,-32.75,33115
GLO.4657,ZAF.4657,ZAF,24.75,-32.25,33116
GLO.4658,ZAF.4658,ZAF,24.75,-31.75,33117
GLO.4659,ZAF.4659,ZAF,24.75,-31.25,33118
GLO.4660,ZAF.4660,ZAF,24.75,-30.75,33119
GLO.4661,ZAF.4661,ZAF,24.75,-30.25,33120
GLO.4662,ZAF.4662,ZAF,24.75,-29.75,33121
GLO.4663,ZAF.4663,ZAF,24.75,-29.25,33122
GLO.4664,ZAF.4664,ZAF,24.75,-28.75,33123
GLO.4665,ZAF.4665,ZAF,24.75,-28.25,33124
GLO.4666,ZAF.4666,ZAF,24.75,-27.75,33125
GLO.4667,ZAF.4667,ZAF,24.75,-27.25,33126
GLO.4668,ZAF.4668,ZAF,24.75,-26.75,33127
GLO.4669,ZAF.4669,ZAF,24.75,-26.25,33128
GLO.4670,BWA.4670,BWA,24.75,-25.75,33129
GLO.4671,BWA.4671,BWA,24.75,-25.25,33130
GLO.4672,BWA.4672,BWA,24.75,-24.75,33131
GLO.4673,BWA.4673,BWA,24.75,-24.25,33132
GLO.4674,BWA.4674,BWA,24.75,-23.75,33133
